174.270817791414,-35.9670973587859,Harrison Rd,Shouldbe: Taipuha,710
174.261172175296,-35.9808890400246,Harrison Rd,Shouldbe: Taipuha,565
174.256129982824,-36.0239371727915,Central Rd,Shouldbe: Taipuha,627
174.263689670444,-36.0051324677115,Central Rd,Shouldbe: Taipuha,2120
174.301936917142,-36.0224284148075,Golden Stairs Rd,Shouldbe: Taipuha,2992
174.304693294703,-36.0374882367572,Golden Stairs Rd,"Shouldbe: Mareretu, Taipuha",1613
174.417992895371,-35.8348851581485,Takahiwai Rd,Shouldbe: Takahiwai,552
173.3509172,-35.1830579,Takahue Rd,Shouldbe: Takahue,0
173.346607933454,-35.184680569267,Takahue Rd,Shouldbe: Takahue,0
173.901054914767,-35.8041476262528,Avoca North Rd,Shouldbe: Tangowahine,2002
173.813094702775,-35.7358307397633,Tangowahine Valley Rd,Shouldbe: Tangowahine,71
173.908431928714,-35.7351272851072,Karaka Rd,Shouldbe: Tangowahine,0
173.904542387734,-35.8161971781328,Avoca North Rd,Shouldbe: Tangowahine,2007
173.903097513728,-35.8079881505491,Avoca North Rd,Shouldbe: Tangowahine,2284
174.434259936288,-36.3531835536678,Corlett Rd,Shouldbe: Tauhoa,767
174.581267396023,-36.2022087379744,Mangawhai Rd,Shouldbe: Te Arai,2538
174.58135797224,-36.1980477179383,Mangawhai Rd,Shouldbe: Te Arai,2123
174.580400732344,-36.1942253792145,Mangawhai Rd,Shouldbe: Te Arai,298
174.583220240592,-36.176867153185,Mangawhai Rd,Shouldbe: Te Arai,0
174.581503596454,-36.1745139689702,Mangawhai Rd,Shouldbe: Te Arai,0
172.878839463113,-34.4949641436986,Te Hapua Rd,Shouldbe: Te Hapua,241
172.856411584264,-34.5023972982955,Te Hapua Rd,Shouldbe: Te Hapua,47
174.294900047373,-35.6564575260788,SH1,Shouldbe: Te Kamo,185
174.25299,-35.6827449821395,Church Rd,Shouldbe: Te Kamo,79
174.293574312876,-35.660526303649,SH1,Shouldbe: Te Kamo,202
174.296152498154,-35.6545997376317,SH1,Shouldbe: Te Kamo,38
174.293115740569,-35.6581447414953,SH1,Shouldbe: Te Kamo,150
173.042234928443,-34.7233422256997,SH1,"Shouldbe: Ngataki, Te Kao",2650
173.995344820242,-35.1412097577183,Purerua Rd,Shouldbe: Te Ti Mangonui,1931
173.9967107,-35.1391124,Purerua Rd,Shouldbe: Te Ti Mangonui,2165
